,T_Num,Train,From,To,Days,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
0,20501,TEJAS EXPRESS,Agartala,Anand Vihar Terminal,M,1,0,0,0,0,0,0
1,12957,ADI NDLS RAJ EX,Ahmedabad Jn,New Delhi,Daily,1,1,1,1,1,1,1
2,20502,AGTL TEJAS EXP,Anand Vihar Terminal,Agartala,W,0,0,1,0,0,0,0
3,20817,RAJDHANI EXPRES,Bhubaneswar,New Delhi,Sa,0,0,0,0,0,1,0
4,22811,RAJDHANI EXPRES,Bhubaneswar,New Delhi,W Su,0,0,1,0,0,0,1
5,22823,RAJDHANI EXPRES,Bhubaneswar,New Delhi,M Tu Th F,1,1,0,1,1,0,0
6,12441,BSP NDLS RAJ EX,Bilaspur Jn,New Delhi,M Th,1,0,0,1,0,0,0
7,22221,NZM RAJDHANI EX,C Shivaji Maharaj T,Hazrat Nizamuddin,Daily,1,1,1,1,1,1,1
8,12423,RAJDHANI EXP,Dibrugarh,New Delhi,Daily,1,1,1,1,1,1,1
9,20503,RAJDHANI EXP,Dibrugarh,New Delhi,Tu W Th Sa Su,0,1,1,1,0,1,1
10,20505,RAJDHANI EXP,Dibrugarh,New Delhi,M F,1,0,0,0,1,0,0
11,12432,TVC RAJDHNI EXP,Hazrat Nizamuddin,Thiruvananthapuram Central,Tu W Su,0,1,1,0,0,0,1
12,12434,NZM MAS RAJDHANI,Hazrat Nizamuddin,Mgr Chennai Ctr,W F,0,0,1,0,1,0,0
13,12438,SC RAJDHANI,Hazrat Nizamuddin,Secunderabad Jn,Su,0,0,0,0,0,0,1
14,12954,AUG KRANTI RAJ,Hazrat Nizamuddin,Mumbai Central,Daily,1,1,1,1,1,1,1
15,22222,CSMT RAJDHANI,Hazrat Nizamuddin,C Shivaji Maharaj T,Daily,1,1,1,1,1,1,1
16,22414,NZM MAO RAJDANI,Hazrat Nizamuddin,Madgaon,F Sa,0,0,0,0,1,1,0
17,22692,SBC RAJDHANI,Hazrat Nizamuddin,Ksr Bengaluru,Daily,1,1,1,1,1,1,1
18,12301,RAJDHANI EXPRES,Howrah Jn,New Delhi,Except Sun,1,1,1,1,1,1,0
19,12305,RAJDHANI EXPRES,Howrah Jn,New Delhi,Su,0,0,0,0,0,0,1
20,12426,JAMMU RAJDHANI,Jammu Tawi,New Delhi,Daily,1,1,1,1,1,1,1
21,22691,RAJDHANI EXP,Ksr Bengaluru,Hazrat Nizamuddin,Daily,1,1,1,1,1,1,1
22,22413,MAO NZM RAJ SPL,Madgaon,Hazrat Nizamuddin,M Su,1,0,0,0,0,0,1
23,12433,MAS NZM RAJDHANI,Mgr Chennai Ctr,Hazrat Nizamuddin,F Su,0,0,0,0,1,0,1
24,22207,TVC AC SF EXP,Mgr Chennai Ctr,Thiruvananthapuram Central,Tu F,0,1,0,0,1,0,0
25,12951,TEJAS RAJ EXP,Mumbai Central,New Delhi,Daily,1,1,1,1,1,1,1
26,12953,MMCT NZM AK RAJ,Mumbai Central,Hazrat Nizamuddin,Daily,1,1,1,1,1,1,1
27,12302,HWH RAJDHANI,New Delhi,Howrah Jn,Except Fri,1,1,1,1,0,1,1
28,12306,KOLKATA RAJDHNI,New Delhi,Howrah Jn,F,0,0,0,0,1,0,0
29,12310,RJPB TEJAS RAJ,New Delhi,Rajendranagar T,Daily,1,1,1,1,1,1,1
30,12314,SEALDAH RAJDHNI,New Delhi,Sealdah,Daily,1,1,1,1,1,1,1
31,12424,DBRG RAJDHANI,New Delhi,Dibrugarh,Daily,1,1,1,1,1,1,1
32,12425,JAMMU RAJDHANI,New Delhi,Jammu Tawi,Daily,1,1,1,1,1,1,1
33,12442,BSP RAJDHNI EXP,New Delhi,Bilaspur Jn,Tu Sa,0,1,0,0,0,1,0
