,Station,Code
0,9Bp No3,9BP3
1,A Cabin,ACAB
2,Abada,ABB
3,Abhaipur,AHA
4,Abhanpur Jn,AVP
5,Abhayapuri Assam,AYU
6,Abjuganj,AJUG
7,Abohar,ABS
8,Abu Road,ABR
9,Abutara H,ABW
10,Achal Ganj,ACH
11,Achalda,ULD
12,Achalpur,ELP
13,Acharapakkam,ACK
14,Acharya Narendra Dev Nagar,ACND
15,Achchuntanvayal,ACV
16,Achegaon,ACG
17,Achhnera Jn,AH
18,Achirne,ACRN
19,Achuara H,ACU
20,Adalpahari,ALPD
21,Adapur,ADX
22,Adari Road,ADE
23,Adarki,AKI
24,Adarsh Nagar Delhi,ANDI
25,Adarshnagar,AHO
26,Adas Road,ADD
27,Adavali,ADVI
28,Adavali,TVD
29,Adderi H,AEX
30,Adesar,AAR
31,Adgaon Buzurg,ABZ
32,Adhartal,ADTL
33,Adhichchanur,ACN
34,Adhikari,ADQ
35,Adhinpur,AHZ
36,Adhyatmik Nagar H,AKNR
37,Adi Saptagram,ADST
38,Adichunchanagiri Halt,ACCI
39,Adihalli,ADHL
40,Adilabad,ADB
41,Adina,ADF
42,Adipur,AI
43,Adirampattinam,AMM
44,Aditpara,APQ
45,Adityapur,ADTP
46,Adiyakkamungalam,AYM
47,Adoni,AD
48,Adra Jn,ADRA
49,Adraj Moti,AJM
50,Adrash Manpur,AHMP
51,Adurupalli,ARPI
52,Aduturai,ADT
53,Advance Starter,ADSR
54,Agaram Sibbandi,AGM
55,Agarpara,AGP
56,Agartala,AGTL
57,Agas,AGAS
58,Agasod,AGD
59,Agastiyampalli,AGX
60,Agauthar H,AGTR
61,Aghwanpur,AWP
62,Aghwanpur Block Hut,AMBH
63,Agomoni,AGMN
64,Agori Khas,AGY
65,Agra Cantt,AGC
66,Agra City,AGA
67,Agra Fort,AF
68,Agradwip,AGAE
69,Agran Dhulgaon,AGDL
70,Agrer Halt,AERH
71,Agri Park,APAP
72,Agsauli,AUL
73,Agthori,AGT
74,Ahalyapur F,AHLR
75,Ahera,AHQ
76,Aherwadi H,AHD
77,Ahimanpur,AHM
78,Ahiran H,AHN
79,Ahirauli Halt,AHU
80,Ahiwara,AWZ
81,Ahju,AHJU
82,Ahmadnagar,ANG
83,Ahmadpur Jn,AMP
84,Ahmadpur Jn Ng,ADP
85,Ahmed Garh,AHH
86,Ahmedabad Jn,ADI
87,Ahmedabad Mg,ADIJ
88,Ahraura Road,ARW
89,Aigawan,AIG
90,Ailam H,AILM
91,Airoli,AIRL
92,Aishbagh,ASH
93,Aishbagh Mg,ASSH
94,Ait Jn,AIT
95,Aithal,ATMO
96,Aiyanapuram,AYN
97,Ajaibpur,AJR
98,Ajakollu,AJK
99,Ajanti,ANI
100,Ajara,AZA
