S_No,S_Code
1,HWH
2,BWN
3,PAN
4,DGR
5,UDL
6,RNG
7,ASN
8,INDB
9,DWX
10,UJN
11,SJP
12,BPL
13,ET
14,GDYA
15,BZU
16,AMLA
17,PAR
18,NGP
19,SEGM
20,HGT
21,CD
22,BPQ
23,SKZR
24,BPA
25,MCI
26,RDM
27,WL
28,KMT
29,BZA
30,TEL
31,CLX
32,OGL
33,NLR
34,GDR
35,MAS
36,KPD
37,JTJ
38,SA
39,ED
40,TUP
41,CBE
42,PGT
43,OTP
44,SRR
45,WKI
46,TCR
47,IJK
48,CKI
49,AFK
50,AWY
51,ERN
52,ERS
53,SRTL
54,ALLP
55,AMPA
56,HAD
57,KYJ
58,QLN
59,TVC
60,ADI
61,ND
62,ANND
63,BRC
64,BH
65,ST
66,NVS
67,BL
68,VAPI
69,DRD
70,BSR
71,BIRD
72,KYN
73,KJT
74,LNL
75,SVJR
76,PUNE
77,KOP
78,MRJ
79,SLI
80,STR
81,JAT
82,BBMN
83,VJPJ
84,SMBX
85,GHGL
86,HRNR
87,CKDL
88,BDHY
89,KTHU
90,MDPB
91,SJNP
92,PTK
93,CHKB
94,MRTL
95,MEX
96,DZA
97,TDO
98,BPRS
99,JUC
100,KXH
101,SQR
102,LNK
103,MXH
104,MWX
105,FZR
106,FDK
107,KKP
108,GJUT
109,BTI
110,MBY
111,SGRA
112,HMH
113,PGK
114,SOG
115,LKS
116,LGH
117,BKN
118,DSO
119,NOK
120,NGO
121,MDW
122,MTD
123,GOTN
124,PPR
125,RKB
126,JU
127,LUNI
128,PMY
129,MJ
130,FA
131,ABR
132,PNU
133,SID
134,UJA
135,MSH
136,SBC
137,HUP
138,DMM
139,ATP
140,GY
141,GTL
142,AD
143,MALM
144,RC
145,WADI
146,GR
147,SUR
148,DD
149,ANG
150,BAP
151,KPG
152,MMR
153,JL
154,AN
155,NDB
156,AKV
157,MANI
158,UDZ
159,ZW
160,JYM
161,DNRP
162,HMT
163,SDGM
164,ASV
165,MCA
166,PKU
167,KGP
168,TATA
169,CKP
170,ROU
171,GP
172,BMB
173,JSG
174,BRJN
175,BPH
176,RIG
177,KHS
178,BUA
179,CPH
180,NIA
181,AKT
182,BSP
183,BYT
184,TLD
185,R
186,BPHB
187,DURG
188,RJN
189,DGG
190,AGN
191,G
192,TRO
193,TMR
194,BRD
195,KP
196,AJNI
197,WR
198,PLO
199,DMN
200,CND
201,BD
202,MZR
203,AK
204,SEG
205,JM
206,NN
207,MKU
208,BSL
209,DXG
210,DDE
211,NWU
212,VYA
213,MID
214,BIY
215,UDN
216,MAN
217,PURI
218,SIL
219,KUR
220,KAPG
221,BALU
222,KIT
223,CAP
224,BAM
225,PSA
226,CHE
227,VZM
228,VBL
229,PVPT
230,RGDA
231,MNGD
232,KSNG
233,TIG
234,KBJ
235,KRAR
236,BGBR
237,MSMD
238,BBS
239,DNKL
240,TLHR
241,ANGL
242,BONA
243,RAIR
244,SBPD
245,SBP
246,HKG
247,BRGA
248,BLGR
249,MTJ
250,MRT
251,HTC
252,HTJ
253,SKA
254,KSJ
255,UJH
256,BEM
257,BRY
258,BC
259,IZN
260,BPR
261,PBE
262,PP
263,MLN
264,GK
265,LMP
266,HA
267,STP
268,SD
269,DAL
270,LC
271,ASH
272,JP
273,KKU
274,JOB
275,FL
276,NRI
277,TL
278,KSG
279,MD
280,AII
281,TK
282,TTR
283,ASK
284,RRB
285,DVG
286,HRR
287,RNR
288,HVR
289,UBL
290,DWR
291,LD
292,BGM
293,KRD
294,SOH
295,SOD
296,BER
297,BCT
298,DDR
299,BVI
300,CHP
301,JWB
302,RANI
303,BDTS
304,RTM
305,NMH
306,COR
307,BHL
308,MVJ
309,RPZ
310,MDL
311,GBP
312,BJNR
313,NSD
314,NLI
315,JAO
316,DOD
317,MDS
318,PIP
319,MLG
320,NBH
321,CNA
322,GGR
323,HMG
324,SSR
325,SDAH
326,MDP
327,JSME
328,JAJ
329,KIUL
330,MKA
331,PNC
332,PNBE
333,MGS
334,BSB
335,SLN
336,LKO
337,BE
338,MB
339,NBD
340,SRE
341,UMB
342,LDH
343,BEAS
344,ASR
345,RMU
346,AMRO
347,HPU
348,GZB
349,DLI
350,DEE
351,DEC
352,PM
353,GGN
354,GHH
355,PTRD
356,RE
357,KRH
358,AWR
359,MKH
360,RHG
361,BKI
362,DO
363,GADJ
364,VG
365,DHG
366,HVD
367,SIOB
368,BCOB
369,GIMB
370,AI
371,AJE
372,BHUJ
373,BLDI
374,RDHP
378,DHN
379,CRP
380,BKSC
381,PNW
382,JAA
383,MURI
384,RNC
385,HTE
386,BANO
387,NXN
388,BNDM
389,RGL
390,ATS
391,BRPL
392,BUDM
393,RPRD
394,NRLR
395,AMB
396,THV
397,SPRD
398,PVP
399,KTV
400,SCM
401,VSKP
402,DVD
403,AKP
404,YLM
405,NRP
406,TUNI
407,ANV
408,GLP
409,PAP
410,SLO
411,APT
412,DWP
413,RJY
414,GVN
415,KVR
416,NDD
417,TDD
418,EE
419,NDO
420,BPP
421,CJM
422,SKM
423,KVZ
424,BTTR
425,NYP
426,SPE
427,TRL
428,AJJ
429,VN
430,TPT
431,BQI
432,PTJ
433,PNQ
434,DINR
435,IPL
436,TUVR
437,SURI
438,SNT
439,RPH
440,PKR
441,MLDT
442,BOE
443,KNE
444,NJP
445,SGUJ
446,NMZ
447,BNV
448,HSA
449,APDJ
450,AGC
451,TDL
452,CNB
453,FTP
454,SFG
455,ALD
456,HW
457,LRJ
458,SPN
459,HRI
461,RBL
462,GNG
463,AME
464,PBH
465,PRG
466,LTT
467,TNA
468,IGP
469,NK
470,BAU
471,KNW
472,HD
473,TBN
474,HBJ
475,BINA
476,LAR
477,VGLB
478,MRPR
479,HPP
480,MBA
481,BNDA
482,ATE
483,CKTD
484,MKP
485,BLS
486,BHC
487,JJKR
488,CTC
489,GNT
490,PPM
491,NRT
492,VKN
493,KCD
494,DKD
495,MRK
496,TLU
497,CBM
498,GID
499,NDL
500,BEY
501,BMH
502,DNC
503,PDL
504,MKR
505,BAY
506,HPT
507,GDG
508,CLR
509,QLM
510,SVM
511,MAO
512,VSG
513,TNGL
514,MRB
515,KBL
516,NGR
517,SVHE
518,KGB
519,BIG
520,PND
521,APR
522,AAL
523,BUH
524,SDL
525,BRS
526,UMR
527,KTE
528,SHR
529,JBP
530,MML
531,SRID
532,NU
533,KY
534,GAR
535,BKH
536,PPI
537,SGP
538,HBD
539,GKP
540,KLD
541,BST
542,GD
543,RK
544,JUD
545,JRC
546,GHY
547,KYQ
548,RNY
549,NBQ
550,NOQ
551,NCB
552,DQG
553,KIR
554,CRR
555,NNA
556,KGG
557,BGS
558,BJU
559,SPJ
560,MFP
561,CAA
562,MKI
563,SGL
564,BTH
565,NKE
566,BUG
567,SBZ
568,CPJ
569,VAK
570,KPY
571,MVLK
572,CNGR
573,TRVL
574,CGY
575,KTYM
576,PGTN
577,SRP
578,SHE
579,CGR
580,CNS
581,BDC
582,KAN
583,MNAE
584,OYR
585,STN
586,RNPR
587,CRJ
588,JMT
589,VDS
590,MUW
591,STL
592,GHR
593,JMU
594,MNP
595,LKR
596,BRYA
597,HTZ
598,BARH
599,BKP
600,FUT
601,DNR
602,BTA
603,ARA
604,BEA
605,BYN
606,RPR
607,TWG
608,DURE
609,BXR
610,CSA
611,GMR
612,BWH
613,DLN
614,ZNA
615,DHA
616,SLD
617,KCA
618,VYN
619,KEI
620,SOP
621,BRPT
622,BTP
623,PDRD
624,KSF
625,TLMD
626,JLL
627,SIQ
628,ZBD
629,JOP
630,SKN
631,HRPG
632,KEPR
633,LBA
634,SHNG
635,MFKA
636,NHH
637,AKJ
638,HGH
639,CDRL
640,AMG
641,SAN
642,BLM
643,AJI
644,TLH
645,PMR
646,CH
647,DPR
648,JUDW
649,UBC
650,RPJ
651,SIR
652,GVG
653,KNN
654,CHA
655,DOA
656,SNL
657,DDL
658,LDW
659,PHR
660,GRY
661,PGW
662,CEU
663,KRE
664,NDLS
665,SNP
666,PNP
667,KUN
668,KKDE
669,GTJT
670,BU
671,CKD
672,BNW
673,HSR
674,SSA
675,TWB
676,MOGA
677,JGN
678,JHL
679,DUI
680,DBRT
681,TSK
682,SLGR
683,MXN
684,FKG
685,DMV
686,DPU
687,LMG
688,HJI
689,CPK
690,DES
691,CPR
692,BUI
693,GCT
