1, Howrah Junction, 23
2, Barddhaman Junction, 8
3, Panagarh, 4
4, Durgapur, 5
5, Andal Junction, 6
6, RaniGanj, 4
7, Asansol Junction, 7
8, Indore Junction, 6
9, Dewas Junction, 2
10, Ujjain Junction, 8
11, Shujalpur, 3
12, Bhopal Junction, 6
13, Itarsi Junction, 8
14, Ghoradongri, 3
15, Betul, 3
16, Amla Junction, 5
17, Pandhurna, 2
18, Nagpur Junction, 8
19, Sewagram Junction, 5
20, Hinganghat, 2
21, Chandrapur, 3
22, Balharshah Junction, 5
23, Sirpur Kaghaznagar, 3
24, Bellampalli, 3
25, Manchiryal, 3
26, Ramagundam, 3
27, Warangal, 4
28, Khammam, 3
29, Vijayawada Junction, 10
30, Tenali Junction, 5
31, Chirala, 4
32, Ongole, 3
33, Nellore, 4
34, Gudur Junction, 5
35, MGR Chennai Central, 12
36, Katpadi Junction, 5
37, Jolarpettai Junction, 5
38, Salem Junction, 6
39, Erode Junction, 4
40, Tiruppur, 2
41, Coimbatore Junction, 6
42, Palakkad Junction (Palghat), 0
43, Ottappalam, 2
44, Shoranur Junction, 7
45, Wadakkanchery, 2
46, Thrissur (Trichur), 0
47, Irinjalakkuda, 2
48, Chalakkudy, 3
49, Angamaly for Kalady, 3
50, Aluva (Alwaye), 0
51, Ernakulam Town (North), 0
52, Ernakulam Junction (South), 0
53, Cherthala (Sherthalai), 0
54, Alappuzha (Alleppey), 0
55, Ambalappuzha, 3
56, Harippad, 2
57, Kayamkulam Junction, 5
58, Kollam Junction (Quilon), 0
59, Thiruvananthapuram Central (Trivandrum), 0
60, Ahmedabad Junction, 9
61, Nadiad Junction, 4
62, Anand Junction, 6
63, Vadodara Junction, 6
64, Bharuch Junction, 5
65, Surat, 4
66, Navsari, 3
67, Valsad, 5
68, Vapi, 3
69, Dahanu Road, 5
70, Vasai Road, 7
71, Bhiwandi Road, 4
72, Kalyan Junction, 8
73, Karjat Junction, 4
74, Lonavla, 3
75, Shivajinagar, 2
76, Pune Junction, 6
77, Kolhapur SCSMT, 3
78, Miraj Junction, 6
79, Sangli, 3
80, Satara, 3
81, Jammu Tawi, 3
82, Bari Brahman, 2
83, Vijaypur Jammu, 2
84, Samba, 2
85, Ghagwal, 2
86, Hira Nagar, 2
87, Chak Dayala, 2
88, Budhi, 2
89, Kathua, 2
90, Madhopur Punjab, 2
91, Sujanpur, 3
92, Pathankot Junction, 4
93, Chakki Bank, 0
94, Mirthal, 2
95, Mukerian, 3
96, Dasuya, 2
97, Tanda Urmar, 3
98, Bhogpur Sirwal, 3
99, Jalandhar City Junction, 5
100, Kapurthala, 2
101, Sultanpur Lodhi, 2
102, Lohian Khas Junction, 3
103, Makhu, 2
104, Mallanwala Khas, 2
105, Firozpur Cantt. Junction, 6
106, Faridkot, 3
107, Kot Kapura Junction, 3
108, Gangsar Jaito, 3
109, Bathinda Junction, 7
110, Mandi Dabwali, 2
111, Sangaria, 1
112, Hanumangarh Junction, 4
113, PiliBanga, 2
114, Suratgarh Junction, 5
115, Lunkaransar, 1
116, Lalgarh Junction, 3
117, Bikaner Junction, 6
118, Deshnoke, 2
119, Nokha, 2
120, Nagaur, 2
121, Marwar Mundwa, 1
122, Merta Road Junction, 3
123, Gotan, 2
124, Pipar Road Junction, 3
125, Raikabag Palace Junction, 2
